id,hotel_cluster
0,91 48 41 30 42
1,91 48 41 30 42
2,21 91  9 13 28
3, 1 45 79 54 24
4,47 16 91 48 41
5,91 48 41 30 42
6,91 49  2 97 18
7,55 70 16 95  2
8, 1 45 79 54 24
9,22  9 34 55 91
10,77 91 16 17 18
11,91 48 41 30 42
12,21 91  9 13 28
13,91 48 41 30 42
14,91 91 48 41 30
15,91 48 41 30 42
16,18 71 34 91 84
17,28 33 77 91 48
18,39 59 76 23 77
19,91 48 41 30 42
20,76 91 18 41 60
21,83 16 48 70  0
22,91 48 41 30 42
23,73 99  6 65  8
24,56 41 70 21 69
25,56 41 70 21 69
26,30 36 91 48 41
27,91 48 41 30 42
28,91 48 41 30 42
29,65 52 96 66 87
30, 2 59 99 37  5
31,36 29 81 46 32
32,91 48 41 30 42
33, 1 45 79 54 24
34,10  3 17 83 91
35,91 48 41 30 42
36,91 48 41 30 42
37,91 48 41 30 42
38,25  2 98 91 48
39,10  3 17 83 91
40,63 61 85 90 34
41,36  6 12 46 29
42,91 48 41 30 42
43, 1 45 79 54 24
44,68  9 91 48 41
45,33 83 91 48 41
46,51 28 91 48 41
47,41  1 21 79 91
48,61 81 11 29 30
49,50 91 48 41 30
50,91 48 50 91 48
51,48 16 32 28 42
52,91 48 41 30 42
53,91 48 41 30 42
54,25 42 91 48 41
55,48 39 42 47 72
56,91 48 41 30 42
57,91 48 41 30 42
58,91 48 41 30 42
59,91 48 41 30 42
60,91 48 41 30 42
61,38 91 48 41 30
62,36 67 62 91 48
63,91 48 41 30 42
64,20 91 48 41 30
65,64 25 40 86 75
66,91 48 41 30 42
67,62 36 63 91 48
68,61 81 12 57 30
69,91 48 41 30 42
70,81 46 82 91 48
71,13 76 57 35  8
72,91 48 41 30 42
73,82 64 46 29 58
74,59 16  2 14 12
75,91 48 41 30 42
76,97 68 37 18 98
77,58 57 85 97 91
78, 4 68 14 16 50
79,91 48 41 30 42
80, 9 68 72 95 16
81,41  1 21 79 91
82,91 48 41 30 42
83,31 52 57 65 87
84,31 81 30 44 64
85,90 98  3  9 37
86,91 48 41 30 42
87,91 48 41 30 42
88,61 91 48 41 30
89,39 70 72 40 94
90, 9 68 72 95 16
91,70 84 99 83 41
92,91 48 41 30 42
93,91 48 41 30 42
94,56 41 70 21 69
95,83 16 48 70  0
96,91 48 41 30 42
97,65 52 96 66 87
98,91 48 41 30 42
99,77 94 13 95 16
100, 9 68 72 95 16
101,91 48 41 30 42
102, 0 21 97 96 98
103,54 17 76 77 91
104,91 48 41 30 42
105,91 48 41 30 42
106,91 48 41 30 42
107,91 15 91 48 41
108,69 22 97 91 48
109,91 48 41 30 42
110,91 48 41 30 42
111,39 70 72 40 94
112, 1 45 79 54 24
113,25 42 91 48 41
114,91 48 41 30 42
115,39 70 72 40 94
116,36  6 12 46 29
117,76 21 35 75 91
118,97 68 37 18 98
119,91 48 41 30 42
120,91 48 41 30 42
121,13 76 57 35  8
122,91 48 41 30 42
123,91 48 41 30 42
124,91 48 41 30 42
125,91 48 41 30 42
126,91 48 41 30 42
127,91 48 41 30 42
128,91 48 41 30 42
129,43  6 91 48 41
130,91 48 41 30 42
131,97 86 30 64 25
132,99 29 64 91 48
133,39 91 48 41 30
134,91 48 41 30 42
135,56 41 70 21 69
136,91 48 41 30 42
137,91 48 41 30 42
138,31 12 99  7  9
139,15 25 29 42 57
140,95 91 48 41 30
141,91 48 41 30 42
142,39 70 72 40 94
143,91 48 41 30 42
144, 6 28 77 25 14
145,91 48 41 30 42
146,50 39 72 91 48
147,91 48 41 30 42
148,91 48 41 30 42
149,91 48 41 30 42
150,91 48 41 30 42
151,91 71 42 34 50
152,91 48 41 30 42
153,91 48 41 30 42
154,56 41 70 21 69
155,91 48 41 30 42
156,13 32 50 16 91
157, 1 45 79 54 24
158,91 48 41 30 42
159,91 48 41 30 42
160,76 21 35 75 91
161,65 52 96 66 87
162,66  3 31 53 65
163, 1 45 79 24 71
164,39 70 72 40 94
165,56 41 70 21 69
166,76 35 61 20 57
167,91 48 41 30 42
168, 2 59 99 37  5
169, 1 45 79 54 24
170,15 25 29 42 57
171,91 48 41 30 42
172,91 48 41 30 42
173,29 89 64 16 76
174,91 48 41 30 42
175,20 44 91 48 41
176,18 71 34 91 84
177,69 22 97 91 48
178, 8 99 64 35  9
179,78  8 43 35 82
180,91 48 41 30 42
181,39 70 72 40 94
182, 1 45 79 54 24
183,91 48 41 30 42
184,32 16 23 47 48
185,91 48 41 30 42
186,61 81 11 29 30
187,83 16 48 70  0
188,91 48 41 30 42
189,91 48 41 30 42
190,91 48 41 30 42
191,91 48 41 30 42
192,91 48 41 30 42
193,28 72 91 48 41
194,91 48 41 30 42
195,95 18 41 91 37
196,91 25 59 72 91
197,18 71 34 91 84
198,91 48 41 30 42
199,13 76 57 35  8
200,72  4 70 16 26
201,38 58 86 20 64
202,91 48 41 30 42
203, 0 21 97 96 98
204, 1 45 79 54 24
205,34 73 90 26 84
206,91 48 41 30 42
207,18 71 34 91 84
208, 1 45 79 54 24
209,91 48 41 30 42
210,91 48 41 30 42
211,91 48 41 30 42
212,83 16 48 70  0
213,99  7 94 48 91
214,19 68 18 41 91
215,28 51 33 37 91
216, 0 21 50 48 41
217,21 91 95 99 19
218,51 91 48 41 30
219,91 48 41 30 42
220,91 49  2 97 18
221,91 48 41 30 42
222,91 48 41 30 42
223,91 48 41 30 42
224,91 48 41 30 42
